com.noman.app.schemas.onlineAdmission.CandidateMarks
Candidate Marks
66
1036,4.5,78,85,76
1072,3,98,105,96
1294,4.1,88,95,86
1294,3.3,78,85,76
1294,3.1,67,74,65
1467,2.9,87,94,85
1039,2.4,56,63,54
1467,3.2,45,52,43
1021,4.5,76,83,74
1016,3,87,94,85
1025,4.1,56,63,54
1032,3.3,54,61,52
1268,3.1,33,40,31
1087,2.9,67,74,65
1047,2.4,39,46,37
1050,3.2,87,94,85
1495,4.5,65,72,63
1263,3,54,61,52
1354,4.1,43,50,41
1028,3.3,23,30,21
1011,3.1,54,61,52
1480,2.9,33,40,31
1489,2.4,54,61,52
1489,3.2,65,72,63
1008,4.5,76,83,74
1489,3,67,74,65
1354,4.1,78,85,76
1354,3.3,98,105,96
1354,3.1,88,95,86
1489,2.9,78,85,76
1257,2.4,67,74,65
1354,3.2,87,94,85
1354,4.5,56,63,54
1354,3,45,52,43
1088,4.1,76,83,74
1366,3.3,87,94,85
1366,3.1,56,63,54
1096,2.9,54,61,52
1082,2.4,33,40,31
1366,3.2,67,74,65
1408,4.5,39,46,37
1409,3,87,94,85
1472,4.1,65,72,63
1117,3.3,54,61,52
1087,3.1,43,50,41
1420,2.9,23,30,21
1290,2.4,54,61,52
1486,3.2,33,40,31
1067,4.5,54,61,52
1464,3,65,72,63
1015,4.1,76,83,74
1010,3.3,67,74,65
1418,3.1,78,85,76
1298,2.9,98,105,96
1296,2.4,88,95,86
1268,3.2,78,85,76
1033,4.5,67,74,65
1491,3,87,94,85
1063,4.1,56,63,54
1472,3.3,45,52,43
1498,3.1,76,83,74
1125,2.9,87,94,85
1080,2.4,56,63,54
1259,3.2,54,61,52
1152,4.5,33,40,31
1029,3,67,74,65
